scenario,layer,mode,step,avg_pop_step,avg_prop_step,std_prop_step,n_pop_samples,n_prop_samples,avg_move_freq_step,avg_harvested_food_step,avg_births_step,avg_entropy_step,avg_confidence_step
S1,0,LLM,0,49.4,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,1,47.6,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,2,47.0,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,3,46.4,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,4,44.6,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,5,43.6,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,6,41.6,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,7,38.6,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,8,34.4,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,9,29.6,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,10,23.4,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,11,15.2,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,12,10.8,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,13,7.0,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,14,5.2,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,15,4.2,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,16,3.6,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,17,2.2,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,18,1.8,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,19,1.0,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,20,0.5,nan,nan,4,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,21,0.5,nan,nan,2,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,22,1.0,nan,nan,1,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,23,1.0,nan,nan,1,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,24,1.0,nan,nan,1,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,25,1.0,nan,nan,1,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,26,1.0,nan,nan,1,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,27,1.0,nan,nan,1,0,0.0,0.0,0.0,0.0,0.0
S1,0,LLM,28,0.0,nan,nan,1,0,0.0,0.0,0.0,0.0,0.0
S2,0,LLM,0,50.0,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S2,0,LLM,1,49.4,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S2,0,LLM,2,49.4,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S2,0,LLM,3,49.4,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S2,0,LLM,4,49.0,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S2,0,LLM,5,49.0,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S2,0,LLM,6,49.2,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S2,0,LLM,7,49.2,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S2,0,LLM,8,49.2,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S2,0,LLM,9,49.0,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S2,0,LLM,10,49.0,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S2,0,LLM,11,49.0,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S2,0,LLM,12,49.0,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S2,0,LLM,13,49.0,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S2,0,LLM,14,48.8,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S2,0,LLM,15,48.4,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S2,0,LLM,16,48.4,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S2,0,LLM,17,48.4,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
S2,0,LLM,18,48.4,nan,nan,5,0,0.0,0.0,0.0,0.0,0.0
