scenario,episode,step,agent_id,food_N,food_S,food_E,food_W,occ_N,occ_S,occ_E,occ_W,food_here,energy,free_cells,move,reproduce,did_reproduce,did_move
S1,0,0,4619293456,1.1377,7.6451,4.0488,7.6272,0,0,1,0,2.4876,5.1203,3,S,True,True,True
S1,0,0,4595755312,3.5303,0.6153,3.4015,6.3867,0,0,0,0,1.8204,2.3177,4,W,False,False,True
S1,0,0,4596703376,6.1289,5.3493,7.0651,1.5526,0,0,0,0,4.0117,4.8586,4,E,False,False,True
S1,0,0,4605769968,2.7861,2.8305,7.9707,2.474,0,0,0,0,0.573,1.2122,4,Stay,False,False,False
S1,0,0,4594736912,2.7622,7.4727,1.7571,-1.0,0,0,1,1,0.0,2.7271,2,S,True,True,True
S1,0,0,4595479856,2.4775,0.0,5.7074,7.118,0,1,0,0,1.5644,3.2615,3,W,False,False,True
S1,0,0,4595475920,3.2141,1.8656,4.8422,7.3477,1,0,0,0,3.6396,4.919,3,W,False,False,True
S1,0,0,4595248656,1.1009,1.7128,-1.0,5.6845,1,0,1,0,0.0,2.1362,2,S,False,False,True
S1,0,0,4595242896,5.0289,6.2285,1.2483,4.5288,0,1,0,0,0.2419,1.2299,3,Stay,False,False,False
S1,0,0,4614738704,6.7359,5.7928,4.9409,5.7074,0,0,0,0,0.477,4.9082,4,N,False,False,True
S1,0,0,4614742736,4.5887,4.6589,3.3091,7.0651,0,0,0,0,1.0678,4.942,4,W,False,False,False
S1,0,0,4619821104,0.0,6.9587,0.6264,3.0977,0,0,0,0,3.2705,4.6341,4,N,False,False,True
S1,0,0,4619820912,4.6891,2.5767,0.9552,4.8784,0,0,0,0,0.2022,4.4003,4,N,False,False,True
S1,0,0,4619821008,5.3723,3.8873,-1.0,7.4784,0,0,1,0,3.7234,3.8747,3,W,False,False,True
S1,0,0,4619821200,3.5443,0.2414,1.6593,1.8215,0,0,0,0,0.0,0.9888,4,N,False,False,True
S1,0,0,4619821296,5.4916,-1.0,0.2094,5.2513,0,1,0,0,0.1043,3.3888,3,N,False,False,True
S1,0,0,4619821392,0.1403,2.021,3.5955,-1.0,0,0,0,1,3.2266,4.7079,3,E,False,False,True
S1,0,0,4619821488,4.8422,3.043,7.7647,1.8656,0,0,0,0,1.9004,3.505,4,E,False,False,True
S1,0,0,4619821584,1.3282,6.0749,5.8799,1.3665,0,0,0,0,0.0,2.2763,4,S,False,False,False
S1,0,0,4619821680,-1.0,3.3879,2.8501,1.7229,1,0,0,0,0.5919,4.561,3,S,False,False,True
S1,0,0,4619821776,0.0772,6.2208,4.8132,0.0,0,0,0,1,1.7571,3.3727,3,S,False,False,True
S1,0,0,4619821872,7.5326,2.516,2.8281,4.6989,0,0,0,0,0.4538,2.2023,4,N,False,False,True
S1,0,0,4619821968,7.325,-1.0,1.8693,6.2845,0,1,0,0,0.0,3.341,3,N,False,False,True
S1,0,0,4619822064,1.7941,0.0,4.7141,0.0,0,1,0,1,2.0805,4.7219,2,E,False,False,True
S1,0,0,4619822160,1.3665,3.4875,6.0749,5.4927,0,0,0,0,4.384,5.5683,4,E,False,False,True
S1,0,0,4619822256,7.0709,1.3881,7.4295,3.3225,0,0,0,0,0.1466,4.2268,4,N,False,False,True
S1,0,0,4619822352,7.7658,2.7622,5.4927,-1.0,0,0,0,1,2.6501,3.5918,3,E,False,False,True
S1,0,0,4619822448,6.5818,0.2509,0.0,4.7575,0,1,1,0,0.0,2.7094,2,N,False,False,True
S1,0,0,4619822544,4.7141,-1.0,6.1831,0.0,0,1,0,1,1.83,4.2885,2,E,False,False,False
S1,0,0,4619822640,4.8784,2.472,2.5767,0.3262,0,0,0,0,0.0,0.3179,4,N,False,False,True
S1,0,0,4619822736,0.0,7.7647,3.4193,4.8422,1,0,0,0,0.2509,2.4419,3,S,False,False,False
S1,0,0,4619822832,2.0371,6.6023,1.5526,-1.0,0,0,0,1,0.6405,3.0523,3,S,False,False,True
S1,0,0,4619822928,4.5884,1.5241,3.7762,7.9702,0,0,0,0,0.0,2.3648,4,W,False,False,True
S1,0,0,4619823024,5.3486,3.6396,4.7575,0.9149,0,1,0,0,3.2141,3.483,3,E,False,False,True
S1,0,0,4619823120,0.1187,3.4193,-1.0,0.0,0,0,1,1,0.0,3.775,2,Stay,False,False,False
S1,0,0,4619823216,6.2502,7.6272,1.1377,0.0,0,0,0,1,2.6032,4.0933,3,N,False,False,True
S1,0,0,4619823312,6.166,0.8531,1.7979,4.8132,0,0,0,0,2.1678,5.3839,4,W,False,False,True
S1,0,0,4619823408,-1.0,1.1377,5.2398,6.2502,1,0,0,0,3.8599,2.8675,3,E,False,False,True
S1,0,0,4619823504,3.5955,6.1317,2.0805,2.021,0,0,1,0,0.0,2.7593,3,S,False,False,True
S1,0,0,4619823600,3.0726,6.1831,2.4661,4.7141,0,0,0,0,2.4222,2.4706,4,S,False,False,True
S1,0,0,4619823696,0.2765,0.0,-1.0,4.0488,1,1,1,1,1.1009,2.3038,0,Stay,False,False,False
S1,0,0,4619823792,2.4851,0.2094,6.9115,5.4916,0,0,0,0,1.864,2.6735,4,E,False,False,True
S1,0,0,4619823888,1.5644,7.9951,4.6005,4.9543,1,0,1,0,0.0,3.0373,2,S,True,True,True
S1,0,0,4619823984,5.7074,0.3062,5.7928,0.0,0,0,0,1,4.6005,3.3088,3,E,False,False,True
S1,0,0,4619824080,2.0805,-1.0,1.83,6.1317,1,1,1,0,0.0,2.1164,1,W,False,False,False
S1,0,0,4619824176,4.0888,5.0709,2.6032,3.9284,0,0,1,0,0.0,1.8264,3,S,False,False,True
S1,0,0,4619824272,3.043,6.2845,7.325,4.082,0,0,0,0,4.091,5.7824,4,E,False,False,False
S1,0,0,4619824368,4.2265,1.1009,-1.0,0.5309,0,1,1,0,0.2765,3.913,2,N,False,False,True
S1,0,0,4619824464,0.5309,5.6845,1.1009,2.4876,0,0,1,1,4.0488,3.5244,2,S,False,False,True
S1,0,0,4619824560,1.3881,-1.0,3.7382,2.8398,0,1,0,0,0.0,1.6853,3,E,False,False,True
S1,0,1,4619823120,0.1607,3.4613,-1.0,0.5839,0,0,1,0,0.0,1.868,3,N,False,False,True
S1,0,1,4619822928,2.6411,2.5081,0.515,3.1146,0,0,0,0,5.0,2.9428,4,W,False,False,True
S1,0,1,4619823504,0.5939,-1.0,0.0,6.7254,0,1,1,0,3.1737,3.2584,2,N,False,False,True
S1,0,1,4619823216,-1.0,3.4639,4.4754,4.1308,1,0,0,0,3.2922,4.3257,3,S,False,False,True
S1,0,1,4619821392,2.6253,0.5939,1.8361,4.2102,0,0,0,0,0.6375,4.8174,4,W,False,False,True
S1,0,1,4619822832,1.293,7.835,4.0558,-1.0,0,0,0,1,3.6443,3.4928,3,S,False,False,True
S1,0,1,4619823696,1.1011,0.4692,-1.0,4.7957,0,0,1,0,0.0,1.4978,3,W,False,False,True
S1,0,1,4619823984,1.5006,2.6411,1.7563,5.3043,0,0,0,0,2.8348,3.698,4,W,False,False,True
S1,0,1,4619823408,-1.0,0.5729,1.2685,4.4754,1,0,1,0,2.2818,3.345,2,W,False,False,True
S1,0,1,4595479856,5.3913,4.9963,2.2587,0.1543,0,0,0,0,4.16,3.6602,4,N,False,False,True
