regen,metab,survival_probability,mean_final_population,std_final_population,mean_births,std_births,has_reproduction
0.0,3.1,0.0,0.0,0.0,97.568,12.133151940036027,1
0.214,3.1,0.0,0.0,0.0,115.946,14.265310511867593,1
0.0,2.671,0.0,0.0,0.0,145.506,15.691971322940914,1
0.0,2.243,0.0,0.0,0.0,181.276,17.17916831514262,1
0.0,1.814,0.0,0.0,0.0,222.122,17.173442170980167,1
0.0,1.386,0.0,0.0,0.0,277.38,17.298080818402948,1
0.0,0.957,0.0,0.0,0.0,344.418,16.644256546929334,1
0.214,2.671,0.004,0.004,0.063118935352238,392.112,687.1903837045451,1
0.0,0.529,0.0,0.0,0.0,459.744,19.83104798037663,1
0.429,3.1,0.0,0.0,0.0,138.798,15.742210645268345,1
0.214,2.243,0.006,0.156,2.435500769862329,815.684,1841.8070767982188,1
0.0,0.1,0.0,0.0,0.0,1006.364,47.56102925715548,1
0.214,1.814,0.026,0.5,3.589707508976184,2116.504,4391.287721156973,1
0.429,2.671,0.014,0.52,5.378624359443594,6429.222,7035.592792133155,1
0.214,1.386,0.298,11.306,19.869382577221668,16295.23,9397.69118417391,1
0.429,2.243,0.23,11.536,23.43008117783632,19767.0,13550.869638956756,1
0.643,3.1,0.0,0.0,0.0,162.418,16.712727964039864,1
0.214,0.1,1.0,225.0,0.0,175.0,0.0,1
0.429,0.1,1.0,225.0,0.0,175.0,0.0,1
0.643,0.1,1.0,225.0,0.0,175.0,0.0,1
0.643,0.529,1.0,225.0,0.0,175.0,0.0,1
0.643,2.671,0.13,8.144,22.7247720340601,22147.124,15898.155810049919,1
0.214,0.957,0.872,51.946,27.939704436518294,36943.154,8359.760541683236,1
0.429,1.814,0.806,50.248,30.840987273432088,41425.918,9686.43863281423,1
0.857,3.1,0.0,0.0,0.0,184.468,17.006968454136675,1
0.643,2.243,0.822,59.746,35.918595239791884,51390.824,11863.65813638542,1
0.857,0.1,1.0,225.0,0.0,175.0,0.0,1
0.429,1.386,0.998,80.742,21.333528447024417,50851.578,3649.9671581969064,1
0.643,1.814,1.0,89.018,21.853276093071262,63238.794,3390.733569533885,1
0.857,0.529,1.0,225.0,0.0,175.0,0.0,1
1.071,0.1,1.0,225.0,0.0,175.0,0.0,1
0.214,0.529,1.0,100.638,18.10621318774304,57738.736,3424.5131131744847,1
1.071,3.1,0.0,0.0,0.0,203.836,17.46931893349022,1
0.857,2.671,0.536,44.1,46.69781579474569,49022.338,19871.058449004573,1
0.429,0.957,1.0,110.4,17.695762204550558,65064.006,3401.611699468944,1
0.643,1.386,1.0,113.656,18.31321009544749,68766.066,3282.0398659437396,1
1.071,0.529,1.0,225.0,0.0,175.0,0.0,1
1.071,0.957,1.0,225.0,0.0,175.0,0.0,1
0.857,2.243,1.0,94.782,25.950693169932862,66344.48,2506.3418293600735,1
1.286,0.1,1.0,225.0,0.0,175.0,0.0,1
1.286,3.1,0.0,0.0,0.0,222.528,18.946588505585908,1
1.286,0.529,1.0,225.0,0.0,175.0,0.0,1
0.643,0.957,1.0,156.818,13.256729460919084,61857.214,2367.0422024552076,1
1.286,0.957,1.0,225.0,0.0,175.0,0.0,1
0.429,0.529,1.0,185.298,8.590063794873702,49573.996,2655.854877809403,1
0.857,1.814,1.0,119.068,20.12787559579997,76223.618,3093.8243835221156,1
1.071,2.671,0.782,78.27,47.980757601355144,61105.1,16819.181217823894,1
0.857,0.957,1.0,202.462,6.297662741049253,34847.61,2214.0934844536264,1
1.5,3.1,0.0,0.0,0.0,241.182,19.156849323414328,1
0.857,1.386,1.0,145.598,14.742333465228631,66277.372,3075.2400442267917,1
1.5,0.1,1.0,225.0,0.0,175.0,0.0,1
1.071,2.243,1.0,121.224,21.82919659538573,84377.118,2368.547984752684,1
1.5,0.529,1.0,225.0,0.0,175.0,0.0,1
1.5,0.957,1.0,225.0,0.0,175.0,0.0,1
1.5,1.386,1.0,225.0,0.0,175.0,0.0,1
1.071,1.814,1.0,141.668,17.573667118731933,76687.87,3968.8215733514653,1
0.34,1.754,0.56,27.692,28.75171535752258,28724.46,11865.4816713187,1
1.045,0.958,1.0,225.0,0.0,175.0,0.0,1
1.071,1.386,1.0,177.798,10.733182007214822,59415.012,2953.7290058256867,1
1.286,1.386,1.0,209.1,5.100392141786747,28574.836,1808.5044432082548,1
0.515,2.287,0.388,23.156,32.95632965000805,30755.986,15477.378302212685,1
