name,birth_bonus,survival_bonus,energy_scale,n_steps,gamma,mean_ecological_score,std_ecological_score,delta_vs_baseline,mean_survival_rate,mean_pop_last50,mean_final_pop,n_strata
energy_scale_1.5,0.2,0.02,1.5,4,0.95,0.6708791132402242,0.3254630373840367,0.048923840215572056,0.6777777777777777,54.649146199021324,31.399999999999995,9
n_steps_8,0.2,0.02,3.0,8,0.95,0.649567422193922,0.24594007399051976,0.027612149169269906,0.6777777777777777,54.669970448087184,31.022222222222226,9
survival_0.05,0.2,0.05,3.0,4,0.95,0.6466216878253915,0.3330914130692179,0.02466641480073939,0.7000000000000001,55.08898879161392,32.544444444444444,9
energy_scale_6.0,0.2,0.02,6.0,4,0.95,0.6362457700029428,0.2177740493844987,0.014290496978290657,0.7,53.487518706143845,30.966666666666665,9
baseline,0.2,0.02,3.0,4,0.95,0.6219552730246521,0.2622108302771454,0.0,0.6777777777777778,54.929572124947256,30.688888888888886,9
birth_0.10,0.1,0.02,3.0,4,0.95,0.6104449636498411,0.2753010042790613,-0.011510309374811012,0.6888888888888889,53.955923468048596,30.477777777777774,9
n_steps_2,0.2,0.02,3.0,2,0.95,0.578122101042028,0.3198004034198421,-0.04383317198262415,0.6777777777777777,55.78620395768322,29.644444444444446,9
gamma_0.80,0.2,0.02,3.0,4,0.8,0.5720914776600744,0.39296987455086074,-0.049863795364577745,0.6666666666666666,55.00497869060383,30.27777777777778,9
gamma_0.99,0.2,0.02,3.0,4,0.99,0.5713605712562414,0.3295885310118777,-0.050594701768410744,0.6888888888888889,54.743433236058365,29.133333333333333,9
survival_0.00,0.2,0.0,3.0,4,0.95,0.4845080019962649,0.329038634436964,-0.13744727102838722,0.6888888888888889,53.894590134715266,26.344444444444445,9
birth_0.40,0.4,0.02,3.0,4,0.95,0.4331754337818501,0.3118616948893236,-0.18877983924280206,0.6222222222222222,54.98921101383614,25.977777777777778,9
