scenario,alpha,beta,replica,seed,extinct,pop_final,n_steps_alive,reproduction_events,movement_frequency,avg_harvested_food
S2,0.0,0.0,0,3000000,1,0,13,0,0.0,0.8680981012042621
S2,0.0,0.0,1,3000001,1,0,12,0,0.0,0.8284301097033739
S2,0.0,0.0,2,3000002,1,0,12,0,0.0,0.7938096776485388
S2,0.0,0.0,3,3000003,1,0,12,0,0.0,0.8170535003243214
S2,0.0,0.0,4,3000004,1,0,12,0,0.0,0.8097319250384025
S2,0.0,0.0,5,3000005,1,0,12,0,0.0,0.8017531294605422
S2,0.0,0.0,6,3000006,1,0,12,0,0.0,0.8094131635882075
S2,0.0,0.0,7,3000007,1,0,12,0,0.0,0.8296407694642806
S2,0.0,0.0,8,3000008,1,0,13,0,0.0,0.8422709273570937
S2,0.0,0.0,9,3000009,1,0,13,0,0.0,0.8998911776641412
S2,0.0,0.0,10,3000010,1,0,13,0,0.0,0.8257893022932937
S2,0.0,0.0,11,3000011,1,0,12,0,0.0,0.7942543058029925
S2,0.0,0.0,12,3000012,1,0,12,0,0.0,0.831757888093527
S2,0.0,0.0,13,3000013,1,0,12,0,0.0,0.8820914027790475
S2,0.0,0.0,14,3000014,1,0,12,0,0.0,0.8501476005227119
S2,0.0,0.0,15,3000015,1,0,12,0,0.0,0.8134184838217823
S2,0.0,0.0,16,3000016,1,0,12,0,0.0,0.8094294301941674
S2,0.0,0.0,17,3000017,1,0,12,0,0.0,0.8206308113822423
S2,0.0,0.0,18,3000018,1,0,12,0,0.0,0.8211691406574791
S2,0.0,0.0,19,3000019,1,0,12,0,0.0,0.8413890323875446
S2,0.0,0.0,20,3000020,1,0,12,0,0.0,0.8482274914414495
S2,0.0,0.0,21,3000021,1,0,12,0,0.0,0.8296808582546433
S2,0.0,0.0,22,3000022,1,0,12,0,0.0,0.8133096465659809
S2,0.0,0.0,23,3000023,1,0,12,0,0.0,0.819457007462884
S2,0.0,0.0,24,3000024,1,0,12,0,0.0,0.8065636602918876
S2,0.0,0.0,25,3000025,1,0,12,0,0.0,0.8501551095424931
S2,0.0,0.0,26,3000026,1,0,12,0,0.0,0.9141266791884879
S2,0.0,0.0,27,3000027,1,0,12,0,0.0,0.8492483648580691
S2,0.0,0.0,28,3000028,1,0,12,0,0.0,0.813918355023853
S2,0.0,0.0,29,3000029,1,0,13,0,0.0,0.851329074302201
S2,0.0,0.0,30,3000030,1,0,12,0,0.0,0.8807818371521065
S2,0.0,0.0,31,3000031,1,0,13,0,0.0,0.8284940672979645
S2,0.0,0.0,32,3000032,1,0,12,0,0.0,0.8816383679619333
S2,0.0,0.0,33,3000033,1,0,13,0,0.0,0.8642322025922659
S2,0.0,0.0,34,3000034,1,0,12,0,0.0,0.778864621953752
S2,0.0,0.0,35,3000035,1,0,13,0,0.0,0.8944275787949353
S2,0.0,0.0,36,3000036,1,0,13,0,0.0,0.843036977086947
S2,0.0,0.0,37,3000037,1,0,12,0,0.0,0.8508018414464371
S2,0.0,0.0,38,3000038,1,0,13,0,0.0,0.827169916061965
S2,0.0,0.0,39,3000039,1,0,12,0,0.0,0.839779701590728
S2,0.0,0.0,40,3000040,1,0,12,0,0.0,0.8263489133318344
S2,0.0,0.0,41,3000041,1,0,12,0,0.0,0.8240344680167194
S2,0.0,0.0,42,3000042,1,0,12,0,0.0,0.8590122043977937
S2,0.0,0.0,43,3000043,1,0,13,0,0.0,0.8479560226428705
S2,0.0,0.0,44,3000044,1,0,11,0,0.0,0.83460354431234
S2,0.0,0.0,45,3000045,1,0,12,0,0.0,0.8535047797511414
S2,0.0,0.0,46,3000046,1,0,12,0,0.0,0.8306323766637876
S2,0.0,0.0,47,3000047,1,0,11,0,0.0,0.8236128983098139
S2,0.0,0.0,48,3000048,1,0,13,0,0.0,0.8142659470833555
S2,0.0,0.0,49,3000049,1,0,13,0,0.0,0.8535596587887817
S2,0.0,0.0,50,3000050,1,0,12,0,0.0,0.8494780685800133
S2,0.0,0.0,51,3000051,1,0,12,0,0.0,0.8553563883895399
S2,0.0,0.0,52,3000052,1,0,12,0,0.0,0.7933512116450082
S2,0.0,0.0,53,3000053,1,0,12,0,0.0,0.826217571131011
S2,0.0,0.0,54,3000054,1,0,12,0,0.0,0.8388163277379884
S2,0.0,0.0,55,3000055,1,0,13,0,0.0,0.8367012656332533
S2,0.0,0.0,56,3000056,1,0,11,0,0.0,0.8968284239969151
S2,0.0,0.0,57,3000057,1,0,13,0,0.0,0.8436438886489027
S2,0.0,0.0,58,3000058,1,0,12,0,0.0,0.848196186821155
S2,0.0,0.0,59,3000059,1,0,12,0,0.0,0.7981229726588861
S2,0.0,0.0,60,3000060,1,0,13,0,0.0,0.8369333171912258
S2,0.0,0.0,61,3000061,1,0,13,0,0.0,0.8118752486381033
S2,0.0,0.0,62,3000062,1,0,13,0,0.0,0.8951687132952665
S2,0.0,0.0,63,3000063,1,0,12,0,0.0,0.8598518873576121
S2,0.0,0.0,64,3000064,1,0,12,0,0.0,0.8411342543579972
S2,0.0,0.0,65,3000065,1,0,12,0,0.0,0.8312350594225741
S2,0.0,0.0,66,3000066,1,0,12,0,0.0,0.8469309547255218
S2,0.0,0.0,67,3000067,1,0,12,0,0.0,0.873448398599785
S2,0.0,0.0,68,3000068,1,0,12,0,0.0,0.8617068046554254
S2,0.0,0.0,69,3000069,1,0,11,0,0.0,0.8223505186541104
S2,0.0,0.0,70,3000070,1,0,12,0,0.0,0.8461948539095775
S2,0.0,0.0,71,3000071,1,0,13,0,0.0,0.8428472937975182
S2,0.0,0.0,72,3000072,1,0,12,0,0.0,0.8724128031343895
S2,0.0,0.0,73,3000073,1,0,12,0,0.0,0.7985615021593159
S2,0.0,0.0,74,3000074,1,0,12,0,0.0,0.8421145357877063
S2,0.0,0.0,75,3000075,1,0,13,0,0.0,0.803077351147627
S2,0.0,0.0,76,3000076,1,0,12,0,0.0,0.867524706855017
S2,0.0,0.0,77,3000077,1,0,12,0,0.0,0.8322850084596389
S2,0.0,0.0,78,3000078,1,0,12,0,0.0,0.7989325055185872
S2,0.0,0.0,79,3000079,1,0,13,0,0.0,0.8444343219232614
S2,0.0,0.0,80,3000080,1,0,12,0,0.0,0.8627835149147829
S2,0.0,0.0,81,3000081,1,0,13,0,0.0,0.8590482182163007
