scenario,alpha,beta,n_episodes,n_extinctions,extinction_rate,wilson_low,wilson_high,avg_final_population,std_final_population,avg_final_population_survivors
S2,0.0,0.0,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S2,0.0,0.25,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S2,0.0,0.5,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S2,0.0,0.75,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S2,0.0,1.0,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S2,0.5,0.0,300,0,0.0,0.0,0.012643429997735661,21.683333333333334,2.550438788837635,21.683333333333334
S2,0.5,0.25,300,12,0.04,0.02302709213793877,0.06860486345997804,32.69,13.268537231645338,34.052083333333336
S2,0.5,0.5,300,212,0.7066666666666667,0.6527928854718688,0.7553144967957339,10.733333333333333,18.7845259973568,36.59090909090909
S2,0.5,0.75,300,299,0.9966666666666667,0.9813628354450568,0.9994113574238592,0.16333333333333333,2.8290163190291664,49.0
S2,0.5,1.0,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S2,1.0,0.0,300,0,0.0,0.0,0.012643429997735661,20.563333333333333,2.1882910259537667,20.563333333333333
S2,1.0,0.25,300,19,0.06333333333333334,0.04091655604878176,0.09679203948257407,31.56,14.545502356260736,33.693950177935946
S2,1.0,0.5,300,249,0.83,0.7833848085580865,0.8682705276434078,5.7,13.97190204742155,33.529411764705884
S2,1.0,0.75,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S2,1.0,1.0,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S2,1.5,0.0,300,0,0.0,0.0,0.012643429997735661,20.843333333333334,2.291205132403337,20.843333333333334
S2,1.5,0.25,300,31,0.10333333333333333,0.07375612591943384,0.14294099521210313,30.583333333333332,16.35281128773469,34.10780669144982
S2,1.5,0.5,300,264,0.88,0.8383413318338598,0.9120496613678611,4.28,12.815970388151127,35.666666666666664
S2,1.5,0.75,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S2,1.5,1.0,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S2,2.0,0.0,300,0,0.0,0.0,0.012643429997735661,20.586666666666666,2.2343821893570364,20.586666666666666
S2,2.0,0.25,300,24,0.08,0.05434646978454494,0.11627401141355304,32.00333333333333,15.93664260377607,34.78623188405797
S2,2.0,0.5,300,260,0.8666666666666667,0.8235273610289742,0.9005341236393531,5.193333333333333,14.901323892012789,38.95
S2,2.0,0.75,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S2,2.0,1.0,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S3,0.0,0.0,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S3,0.0,0.25,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S3,0.0,0.5,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S3,0.0,0.75,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S3,0.0,1.0,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S3,0.5,0.0,300,0,0.0,0.0,0.012643429997735661,30.393333333333334,2.1820081164582903,30.393333333333334
S3,0.5,0.25,300,0,0.0,0.0,0.012643429997735661,40.916666666666664,12.91869567262223,40.916666666666664
S3,0.5,0.5,300,53,0.17666666666666667,0.13767606902581717,0.2238333490393852,36.20666666666666,22.902088136797506,43.97570850202429
S3,0.5,0.75,300,290,0.9666666666666667,0.9397375485424309,0.9817952501263492,1.3933333333333333,8.319615911724389,41.8
S3,0.5,1.0,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
S3,1.0,0.0,300,0,0.0,0.0,0.012643429997735661,29.423333333333332,2.23774004087248,29.423333333333332
S3,1.0,0.25,300,0,0.0,0.0,0.012643429997735661,40.36666666666667,12.255046966156346,40.36666666666667
S3,1.0,0.5,300,84,0.28,0.23221820291536688,0.3333449062836369,31.346666666666668,25.67418355520405,43.53703703703704
S3,1.0,0.75,300,297,0.99,0.9710159953649371,0.9965934432372818,0.31,3.2365853842951178,31.0
S3,1.0,1.0,300,300,1.0,0.9873565700022643,0.9999999999999999,0.0,0.0,nan
