fold,epoch,train_loss,train_move_loss,train_repro_loss,train_move_acc,train_repro_acc,val_loss,val_move_loss,val_repro_loss,val_move_acc,val_repro_acc
1,1,1.978747,1.000518,0.978229,0.645269,0.572015,1.383489,0.434814,0.948675,0.892545,0.500890
1,2,1.315254,0.349292,0.965961,0.913008,0.520361,1.218208,0.265735,0.952473,0.926446,0.463388
1,3,1.230925,0.266683,0.964243,0.928996,0.517783,1.158302,0.212061,0.946241,0.942009,0.516826
1,4,1.201203,0.239168,0.962035,0.933786,0.526642,1.138476,0.194405,0.944070,0.942133,0.549195
1,5,1.186750,0.226770,0.959979,0.935833,0.525859,1.124896,0.180905,0.943991,0.946562,0.544807
1,6,1.176248,0.218479,0.957769,0.937666,0.530598,1.116133,0.172072,0.944061,0.947928,0.566166
1,7,1.171255,0.212525,0.958731,0.937919,0.532140,1.122710,0.175108,0.947602,0.944824,0.479407
1,8,1.165184,0.208746,0.956438,0.938551,0.530067,1.107842,0.164429,0.943412,0.948508,0.547746
1,9,1.159994,0.203478,0.956516,0.939612,0.533303,1.109099,0.161632,0.947467,0.949129,0.478041
1,10,1.156588,0.200553,0.956035,0.939764,0.533076,1.100476,0.157315,0.943161,0.947846,0.533259
1,11,1.152471,0.197174,0.955297,0.940093,0.532709,1.101635,0.158068,0.943568,0.948259,0.529409
1,12,1.151336,0.195320,0.956016,0.939890,0.534440,1.102908,0.156980,0.945928,0.947846,0.491452
1,13,1.147588,0.191921,0.955667,0.940510,0.534681,1.098159,0.153140,0.945018,0.948301,0.498820
1,14,1.145047,0.189954,0.955093,0.940459,0.533707,1.093427,0.150953,0.942474,0.947721,0.543938
1,15,1.142865,0.187737,0.955129,0.939953,0.535287,1.094199,0.149705,0.944494,0.948508,0.503373
1,16,1.140328,0.184697,0.955631,0.941040,0.533973,1.092510,0.146483,0.946028,0.949005,0.487189
1,17,1.136963,0.182753,0.954210,0.941369,0.534175,1.085282,0.141901,0.943381,0.950950,0.516288
1,18,1.134179,0.179973,0.954206,0.942254,0.534959,1.092837,0.148939,0.943899,0.948342,0.507596
1,19,1.132266,0.178223,0.954043,0.941900,0.536311,1.084028,0.141042,0.942986,0.949584,0.521586
